variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider
trt_fever,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with fever. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,285,NA,NA,,response value 0 not in codebook
trt_homefluid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,69,68,,variable not in HUAS codebook (CRF01 HUAS)
trt_iv,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,67,66,,variable not in HUAS codebook (CRF01 HUAS)
trt_lethrgy,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Lethargy. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,288,NA,NA,,response value 0 not in codebook
trt_loose710,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (7-10 per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,277,NA,NA,,response value 0 not in codebook
trt_looseg10,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (more than 10 per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,278,NA,NA,,response value 0 not in codebook
trt_loosel6,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (6+ per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,276,NA,NA,,response value 0 not in codebook
trt_mucus,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Mucus/pus in stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,279,NA,NA,,response value 0 not in codebook
trt_none,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,68,67,,variable not in HUAS codebook (CRF01 HUAS)
trt_ors,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,70,69,,variable not in HUAS codebook (CRF01 HUAS)
trt_othr,gems1_huas_data.sas7bdat,,,num,"G48.1: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Other, specify. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,283,NA,NA,,response value 0 not in codebook
trt_rice,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Rice watery stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,280,NA,NA,,response value 0 not in codebook
trt_sunkeyes,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with sunken eyes. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,282,NA,NA,,response value 0 not in codebook
trt_vomit,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea and vomiting. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,292,NA,NA,,response value 0 not in codebook
trt_wrnkskin,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with wrinkled skin. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,281,NA,NA,,response value 0 not in codebook
trtworks_blood,gems1_huas_data.sas7bdat,,,num,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Bloody diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,340,NA,NA,,
trtworks_loose,gems1_huas_data.sas7bdat,,,num,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Simple loose/watery diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,339,NA,NA,,
trtworks_rice,gems1_huas_data.sas7bdat,,,num,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Rice watery/cholera-like illness.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,341,NA,NA,,
unlicprov,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,412,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
unprac,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,406,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
usevac_blood,gems1_huas_data.sas7bdat,,,num,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Bloody diarrhea.","1=No, 2=Yes, NA=NA",,,,,352,NA,NA,,
usevac_loose,gems1_huas_data.sas7bdat,,,num,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Simple loose/watery diarrhea.","1=No, 2=Yes, NA=NA",,,,,351,NA,NA,,
usevac_rice,gems1_huas_data.sas7bdat,,,num,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Rice watery/cholera-like illness.","1=No, 2=Yes, NA=NA",,,,,353,NA,NA,,
vac_imp,gems1_huas_data.sas7bdat,,,num,"H64: Attitudes about diarrheal illness. In your opinion, are vaccines important for your child's health.","1=No, 2=Yes, NA=NA",,,,,350,NA,NA,,
visit_da,gems1_huas_data.sas7bdat,,,num,2.1. Visit date (day).,,,,,,6,NA,NA,,
visit_mo,gems1_huas_data.sas7bdat,,,num,2.2. Visit date (month).,,,,,,5,NA,NA,,
visit_yr,gems1_huas_data.sas7bdat,,,num,2.3. Visit date (year).,,,,,,7,NA,NA,,
visitdate,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,date,2. Date of intervew.,,,,,,4,3,8,variables 'visitdate' & 'visit_date' should map to the same display label & IRI,
visitdate_str,gems1_huas_data.sas7bdat,,,chr,,,,,,,3,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
vomit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,NA,30,29,,variable not in HUAS codebook (CRF01 HUAS)
vomit_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,NA,32,31,,variable not in HUAS codebook (CRF01 HUAS)
vomit_times,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,NA,31,30,,variable not in HUAS codebook (CRF01 HUAS)
wealth_index,gems1_huas_data.sas7bdat,,,num,,,,,,,401,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
who_decid,gems1_huas_data.sas7bdat,,,num,"C24: Parents perception of illness and use of health care facility. If the child is sick, who decides whether the child should go to a health center. Choose only one response.","1=Mother, 10=Other relation by blood or marriage, specify, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation, NA=NA",,,,,97,NA,NA,,
wiq,gems1_huas_data.sas7bdat,,,num,,"0, 1, 2, 3, 4",,,,,402,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
yng_chldrn,gems1_huas_data.sas7bdat,,,num,B14: Household information. How many children younger than 60 months live in this household.,,,,,,40,NA,NA,,
