variable,variable_huas,variable_lite,variable_kenya,dataFile,type,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,codebookValues,codebookDescription
sd_mucus,SD_MUCUS,NA,NA,gems1_huas_data.sas7bdat,num,68,NA,NA,,,"0=No, 1=Yes, NA=NA",C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Mucus/pus in stool. Select all that apply.
sd_rice,SD_RICE,NA,NA,gems1_huas_data.sas7bdat,num,69,NA,NA,,,"0=No, 1=Yes, NA=NA",C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Rice watery stool. Select all that apply.
sd_vomit,SD_VOMIT,NA,NA,gems1_huas_data.sas7bdat,num,73,NA,NA,,,"0=No, 1=Yes, NA=NA",C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Diarrhea and vomiting. Select all that apply.
seek_ctr1,NA,SEEK_CTR1,seek_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,51,50,,,"0, 1",E31.12: Health care utilization.
seek_ctr1_code,NA,SEEK_CTR1_CODE,seek_ctr1_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,52,51,,,"402, 404, 405, 407, 408, 409, 410, 411, 438, 439, 446, ",E31.12: Health care utilization.
seek_ctr1_shc,NA,SEEK_CTR1_SHC,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,76,NA,,,"0, 1",E31.12: Health care utilization.
seek_ctr2,NA,SEEK_CTR2,seek_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,54,53,,,"0, 1",E31.12: Health care utilization.
seek_ctr2_code,NA,SEEK_CTR2_CODE,seek_ctr2_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,55,54,,,"101, 102, 202, 301, 303, 402, 405, 407, 408, 411, 501",E31.12: Health care utilization.
seek_ctr2_shc,NA,SEEK_CTR2_SHC,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,77,NA,,,1,E31.12: Health care utilization.
seek_ctr3,NA,SEEK_CTR3,seek_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,58,55,,,"0, 1",E31.12: Health care utilization.
seek_ctr3_code,NA,SEEK_CTR3_CODE,seek_ctr3_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,59,56,,,"303, 402",E31.12: Health care utilization.
seek_ctr3_shc,NA,SEEK_CTR3_SHC,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,78,NA,,,1,E31.12: Health care utilization.
seek_friend,NA,SEEK_FRIEND,seek_friend,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,47,46,,,"0, 1",E31.12: Health care utilization.
seek_healer,NA,SEEK_HEALER,seek_healer,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,49,48,,,"0, 1",E31.12: Health care utilization.
seek_licdoc,NA,SEEK_LICDOC,seek_licdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,53,52,,,"0, 1",E31.12: Health care utilization.
seek_other,NA,SEEK_OTHER,seek_other,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,56,57,,,"0, 1",E31.12: Health care utilization.
seek_other_spec,NA,SEEK_OTHER_SPEC,seek_other_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,NA,57,58,,,,E31.12: Health care utilization.
seek_pharmacy,NA,SEEK_PHARMACY,seek_pharmacy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,50,49,,,"0, 1",E31.12: Health care utilization.
seek_remedy,NA,SEEK_REMEDY,seek_remedy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,48,47,,,"0, 1",E31.12: Health care utilization.
seek_unlicdoc,NA,SEEK_UNLICDOC,seek_unlicdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,60,59,,,"0, 1",E31.12: Health care utilization.
seekcare,SEEKCARE,SEEKCARE,seekcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,119,34,33,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",E29: Health care utilization. Did you seek care for the child's diarrhea outside of your home. Only complete for children who had diarrhea in the last 2 weeks
seekcarehcf,NA,NA,seekcarehcf,gems1_huas_lite_data_kenya.sas7bdat,num,NA,NA,78,,variable not in HUAS codebook (CRF01 HUAS),"1, 2",
sex,sex,NA,NA,gems1_huas_data.sas7bdat,num,416,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
sexwt,sexwt,NA,NA,gems1_huas_data.sas7bdat,num,400,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
site,SITE,SITE,site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,1,1,7,,,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan",3. Site.
slp_rooms,SLP_ROOMS,NA,NA,gems1_huas_data.sas7bdat,num,39,NA,NA,,,,B13: Household information. How many rooms in your household are used for sleeping.
status,STATUS,STATUS,status,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,21,11,12,,,"1=Conducted, 2=Not conducted",A07: Eligibility information. Status of interview.
status2,NA,NA,status2,gems1_huas_lite_data_kenya.sas7bdat,num,NA,NA,82,,variable not in HUAS codebook (CRF01 HUAS),1,
stcare,stcare,NA,NA,gems1_huas_data.sas7bdat,num,430,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
trnsport,TRNSPORT,NA,NA,gems1_huas_data.sas7bdat,num,79,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Walk, 2=Commercial transport, 3=Personal transport, 4=Combination of the above, NA=NA",C21: Parents perception of illness and use of health care facility. How do you/would you usually get to the health center of first choice.
trnsport_time,TRNSPORT_TIME,NA,NA,gems1_huas_data.sas7bdat,num,80,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Less than 15 minutes, 2=15 minutes to 30 minutes, 3=30 minutes to 1 hour, 4=1 hour to 4 hours, 5=More than 4 hours, 6=Don't know, NA=NA",C22: Parents perception of illness and use of health care facility. How long does/would it take to get to your center of first choice (using the transport method indicated in trnsport).
trt_blood,TRT_BLOOD,NA,NA,gems1_huas_data.sas7bdat,num,286,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Blood in stool. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_coma,TRT_COMA,NA,NA,gems1_huas_data.sas7bdat,num,289,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Coma/loss of consciousness. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_decurin,TRT_DECURIN,NA,NA,gems1_huas_data.sas7bdat,num,287,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Decreased urination. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_dehydr,TRT_DEHYDR,NA,NA,gems1_huas_data.sas7bdat,num,291,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with dehydration. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_dry,TRT_DRY,NA,NA,gems1_huas_data.sas7bdat,num,290,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Dry mouth. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_fever,TRT_FEVER,NA,NA,gems1_huas_data.sas7bdat,num,285,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with fever. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_homefluid,NA,TRT_HOMEFLUID,trt_homefluid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,69,68,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
trt_iv,NA,TRT_IV,trt_iv,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,67,66,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
trt_lethrgy,TRT_LETHRGY,NA,NA,gems1_huas_data.sas7bdat,num,288,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Lethargy. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_loose710,TRT_LOOSE710,NA,NA,gems1_huas_data.sas7bdat,num,277,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (7-10 per day). Section G: skip for children who had diarrhea in the last 2 weeks"
trt_looseg10,TRT_LOOSEG10,NA,NA,gems1_huas_data.sas7bdat,num,278,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (more than 10 per day). Section G: skip for children who had diarrhea in the last 2 weeks"
trt_loosel6,TRT_LOOSEL6,NA,NA,gems1_huas_data.sas7bdat,num,276,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (6+ per day). Section G: skip for children who had diarrhea in the last 2 weeks"
trt_mucus,TRT_MUCUS,NA,NA,gems1_huas_data.sas7bdat,num,279,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Mucus/pus in stool. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_none,NA,TRT_NONE,trt_none,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,68,67,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
trt_ors,NA,TRT_ORS,trt_ors,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,70,69,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
trt_othr,TRT_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,283,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA","G48.1: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Other, specify. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_rice,TRT_RICE,NA,NA,gems1_huas_data.sas7bdat,num,280,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Rice watery stool. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_sunkeyes,TRT_SUNKEYES,NA,NA,gems1_huas_data.sas7bdat,num,282,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with sunken eyes. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_vomit,TRT_VOMIT,NA,NA,gems1_huas_data.sas7bdat,num,292,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea and vomiting. Section G: skip for children who had diarrhea in the last 2 weeks"
trt_wrnkskin,TRT_WRNKSKIN,NA,NA,gems1_huas_data.sas7bdat,num,281,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with wrinkled skin. Section G: skip for children who had diarrhea in the last 2 weeks"
trtworks_blood,TRTWORKS_BLOOD,NA,NA,gems1_huas_data.sas7bdat,num,340,NA,NA,,,"1=No, 2=Yes, 3=Don't know, NA=NA",H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Bloody diarrhea.
trtworks_loose,TRTWORKS_LOOSE,NA,NA,gems1_huas_data.sas7bdat,num,339,NA,NA,,,"1=No, 2=Yes, 3=Don't know, NA=NA",H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Simple loose/watery diarrhea.
trtworks_rice,TRTWORKS_RICE,NA,NA,gems1_huas_data.sas7bdat,num,341,NA,NA,,,"1=No, 2=Yes, 3=Don't know, NA=NA",H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Rice watery/cholera-like illness.
unlicprov,unlicprov,NA,NA,gems1_huas_data.sas7bdat,num,412,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
unprac,unprac,NA,NA,gems1_huas_data.sas7bdat,num,406,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
usevac_blood,USEVAC_BLOOD,NA,NA,gems1_huas_data.sas7bdat,num,352,NA,NA,,,"1=No, 2=Yes, NA=NA","H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Bloody diarrhea."
usevac_loose,USEVAC_LOOSE,NA,NA,gems1_huas_data.sas7bdat,num,351,NA,NA,,,"1=No, 2=Yes, NA=NA","H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Simple loose/watery diarrhea."
usevac_rice,USEVAC_RICE,NA,NA,gems1_huas_data.sas7bdat,num,353,NA,NA,,,"1=No, 2=Yes, NA=NA","H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Rice watery/cholera-like illness."
vac_imp,VAC_IMP,NA,NA,gems1_huas_data.sas7bdat,num,350,NA,NA,,,"1=No, 2=Yes, NA=NA","H64: Attitudes about diarrheal illness. In your opinion, are vaccines important for your child's health."
visit_da,VISIT_DA,NA,NA,gems1_huas_data.sas7bdat,num,6,NA,NA,,,,2.1. Visit date (day).
visit_mo,VISIT_MO,NA,NA,gems1_huas_data.sas7bdat,num,5,NA,NA,,,,2.2. Visit date (month).
visit_yr,VISIT_YR,NA,NA,gems1_huas_data.sas7bdat,num,7,NA,NA,,,,2.3. Visit date (year).
visitdate,VISITDATE,VISIT_DATE,visitdate,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",date,4,3,8,variables 'visitdate' & 'visit_date' should map to the same display label & IRI,,,2. Date of intervew.
visitdate_str,VISITDATE_STR,NA,NA,gems1_huas_data.sas7bdat,chr,3,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
vomit,NA,VOMIT,vomit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,30,29,,variable not in HUAS codebook (CRF01 HUAS),"0, 1, 2",
vomit_days,NA,VOMIT_DAYS,vomit_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,32,31,,variable not in HUAS codebook (CRF01 HUAS),"0, 1, 2, 3",
vomit_times,NA,VOMIT_TIMES,vomit_times,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,31,30,,variable not in HUAS codebook (CRF01 HUAS),"0, 1, 2, 3",
wealth_index,Wealth_Index,NA,NA,gems1_huas_data.sas7bdat,num,401,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
who_decid,WHO_DECID,NA,NA,gems1_huas_data.sas7bdat,num,97,NA,NA,,,"1=Mother, 10=Other relation by blood or marriage, specify, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation, NA=NA","C24: Parents perception of illness and use of health care facility. If the child is sick, who decides whether the child should go to a health center. Choose only one response."
wiq,wiq,NA,NA,gems1_huas_data.sas7bdat,num,402,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1, 2, 3, 4",
yng_chldrn,YNG_CHLDRN,NA,NA,gems1_huas_data.sas7bdat,num,40,NA,NA,,,,B14: Household information. How many children younger than 60 months live in this household.
