<<<<<<< .mine,,,,,
variable,dataFile,codebookDescription,suggested_IRI,suggested_label,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0010408,Not currently enrolled as a GEMS Case,
house_car,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A car or truck. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,
house_elec,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  Electricity. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,
house_fridge,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A refrigerator. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0021013,None,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0021016,None,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0021061,None,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house Residents in dwelling,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000087,Household information,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0015183,None prescribed or taken,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0015273,Not applicable (none observed),
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0010116,Visible feces elsewhere in house or yard,
house_none,gems1_huas_data.sas7bdat,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
house_phone,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A telephone (mobile or non-mobile). Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),
house_radio,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A radio. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,
house_scoot,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A motorcycle or scooter. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,
house_tele,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A television. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/ENVO_01000579,Television,
lose_earn,gems1_huas_data.sas7bdat,"F44: Health care expenses. Did you lose some earnings due to seeking or providing care during your child's illness. Only complete part F if the answer to E29 is \yes\"". Use local currency""",http://purl.obolibrary.org/obo/EUPATH_0010273,Lost earnings due to care,
lose_total,gems1_huas_data.sas7bdat,"F44: Health care expenses. If yes, how much? (if lose_earn=2). Only complete part F if the answer to E29 is \yes\"". Use local currency""",http://purl.obolibrary.org/obo/EUPATH_0010274,Amount earnings lost due to care,
max_stools,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",D26: Diarrhea history. What is your best estimate of the maximum number of loose stools per day your child had during his/her diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010240,Max loose stools per day,
mod_severe,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",D26.1: Diarrhea history. Moderate to severe diarrhea (drh_sunkeneyes=2 or dhr_wrnkskin=2 or hosptrt_intfld=1 or drh_blood=2 or admit=2). Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015435,Moderate-to-severe diarrhea,
mony_asset,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Selling assets. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015103,Selling assets,
mony_asset,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Selling assets. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015111,Selling assets,
mony_donat,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Asking for donations outside of the household. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
mony_donat,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Asking for donations outside of the household. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
mony_meal,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down expenses from meals. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015099,Cutting down expenses from meals,
mony_meal,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down expenses from meals. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015107,Cutting down expenses from meals,
mony_othexp,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down other expenses. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015100,Cutting down from other expenses,
mony_othexp,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down other expenses. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015108,Cutting down from other expenses,
mony_relative,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Relative or friend paid on your behalf. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015105,Paid by relative or friend,
mony_relative,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Relative or friend paid on your behalf. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015113,Paid by relative or friend,
mony_svngs,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Using savings. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015101,Using savings,
mony_svngs,gems1_huas_data.sas7bdat,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Using savings. Only complete part F if the answer to E29 is \yes\"". Mark all that apply""",http://purl.obolibrary.org/obo/EUPATH_0015109,Using savings,
offr_drink,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E39: Health care utilization. How much was the child offered to drink during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010241,Amount offered to drink during diarrheal episode,
offr_drink,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E39: Health care utilization. How much was the child offered to drink during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015465,Amount offered to drink during previous diarrheal episode,
offr_eat,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E40: Health care utilization. How much was the child offered to eat during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010177,Amount offered to eat during diarrheal episode,
offr_eat,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E40: Health care utilization. How much was the child offered to eat during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015466,Amount offered to eat during previous diarrheal episode,
other_consult,gems1_huas_data.sas7bdat,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at other sources of health care. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010260,Previously sought care other expenses (amount),
other_diag,gems1_huas_data.sas7bdat,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at other sources of health care. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010260,Previously sought care other expenses (amount),
other_drug,gems1_huas_data.sas7bdat,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at other sources of health care. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010260,Previously sought care other expenses (amount),
other_othr,gems1_huas_data.sas7bdat,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at other sources of health care. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010260,Previously sought care other expenses (amount),
other_trnsprt,gems1_huas_data.sas7bdat,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from other sources of health care of health care. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010261,Other transportation expenses,
othrlose_earn,gems1_huas_data.sas7bdat,"F45: Health care expenses. Did other caregivers lose some earinings due to seeking or providing care during the child's illness. Only complete part F if the answer to E29 is \yes\"". Use local currency""",http://purl.obolibrary.org/obo/EUPATH_0010273,Lost earnings due to care,
pharm,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0015093,Pharmacy,
pharm,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0010243,"Pharmacy, medical expenses",
pharm,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0010244,"Pharmacy, transport expenses",
pharm_trnsprt,gems1_huas_data.sas7bdat,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from the pharmacy. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010244,"Pharmacy, transport expenses",
ppl_house,gems1_huas_data.sas7bdat,B12: Household information. How many people have been living regularly in your household for the past 6 months.,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house Residents in dwelling,
prim_schl,gems1_huas_data.sas7bdat,B11: Household information. How far did you (the primary caretaker) go in school.,http://purl.obolibrary.org/obo/EUPATH_0010129,Primary caretaker's education level,
prim_young,gems1_huas_data.sas7bdat,B15: Household information. How many children younger than 60 months in this household are under your primary care.,http://purl.obolibrary.org/obo/EUPATH_0010232,Children under 60 months in dwelling,
privdoc_consult,gems1_huas_data.sas7bdat,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a licenced practitioner/private doctor. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010249,"Licensed doctor, medical expenses",
privdoc_trnsprt,gems1_huas_data.sas7bdat,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010250,"Licensed doctor, transport expenses",
relation,gems1_huas_data.sas7bdat,B08: Household information. What is your relationship to the child.,http://purl.obolibrary.org/obo/EUPATH_0010123,Interviewee relationship to participant,
remdy_trnsprt,gems1_huas_data.sas7bdat,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a shop/market to buy remedies/drugs. Only complete part F if the answer to E29 is \yes\"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.""",http://purl.obolibrary.org/obo/EUPATH_0010251,"Bought remedy or medicine, medical expenses",
seek_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0015092,Seek outside care,
seek_ctr1_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0015092,Seek outside care,
seek_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0015092,Seek outside care,
seek_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010159,1st choice facility SHC,
seek_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010161,2nd choice hospital or health center,
seek_ctr2_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010163,2nd choice facility code,
seek_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010165,2nd choice facility SHC,
seek_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010167,3rd choice hospital or health center,
seek_ctr3_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010169,3rd choice facility code,
seek_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0010171,3rd choice facility SHC,
seek_friend,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0015094,Friend or relative,
seek_healer,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,
seek_pharmacy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0015093,Pharmacy,
seek_remedy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E31.12: Health care utilization.,http://purl.obolibrary.org/obo/EUPATH_0015098,Bought a remedy or drug,
seekcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",E29: Health care utilization. Did you seek care for the child's diarrhea outside of your home. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015092,Seek outside care,
sex,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/PATO_0000047,Sex,
sex,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0010405,"Sex, matched case",
site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",3. Site.,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,
site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",3. Site.,http://purl.obolibrary.org/obo/OBI_0001627,Country,
slp_rooms,gems1_huas_data.sas7bdat,B13: Household information. How many rooms in your household are used for sleeping.,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling,
trnsport_time,gems1_huas_data.sas7bdat,C22: Parents perception of illness and use of health care facility. How long does/would it take to get to your center of first choice (using the transport method indicated in trnsport).,http://purl.obolibrary.org/obo/EUPATH_0010262,Transportation time to clinic,
visitdate,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",2. Date of intervew.,http://purl.obolibrary.org/obo/EUPATH_0000091,Visit date,
vomit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,http://purl.obolibrary.org/obo/EUPATH_0015186,Vomiting 3 or more times per day,
vomit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,http://purl.obolibrary.org/obo/EUPATH_0015060,Vomiting 3 or more times per day,
wealth_index,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",
wealth_index,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0000143,"Household wealth index, categorical",
wiq,gems1_huas_data.sas7bdat,,http://purl.obolibrary.org/obo/EUPATH_0000143,"Household wealth index, categorical",
