variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
chosp,BC-3 childs all visit database FINAL,keep,,was the child hospitalized today,"0=Not referred,
1=Referred",NA,,,,,BC-3 childs all visit database FINAL::chosp
chronicmed,BC-3 screening database FINAL,discard,,Chronic medical condition requiring frequent medical attention,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::chronicmed
cifetus,BC-3 mothers delivery database FINAL,discard,,"Injury to fetus
",1=ticked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::cifetus
clacera,BC-3 mothers delivery database FINAL,keep,,Laceration/episiotomy,1=ticked,NA,,,,,BC-3 mothers delivery database FINAL::clacera
clock,BC3_Household_Survey_Data,keep,,clock?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::clock
cmal,BC-3 mothers all visits database FINAL,discard,,IF complicated malaria what criteria: Cerebral malaria,1=checked,NA,,,,All NA's,BC-3 mothers all visits database FINAL::cmal
cmal,BC-3 mothers delivery database FINAL,discard,,IF complicated malaria what criteria: Cerebral malaria,1=checked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::cmal
cmal,BC-3 childs all visit database FINAL,keep,,Cerebral malaria,1=checked,NA,,,,,BC-3 childs all visit database FINAL::cmal
cmrplac,BC-3 mothers delivery database FINAL,discard,,Manual removal of placenta,1=ticked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::cmrplac
cnone,BC-3 mothers delivery database FINAL,keep,,None,1=ticked,NA,,,,,BC-3 mothers delivery database FINAL::cnone
comchgbline,BC-3 mothers all visits database FINAL,keep,,QTc interval change from Day 0 to Day 2 (computer generated),,NA,,,,,BC-3 mothers all visits database FINAL::comchgbline
comchgbline,BC-3 mothers expanded database FINAL,keep,,QTc interval change from Day 0 to Day 2 (computer generated),,NA,,,,,BC-3 mothers expanded database FINAL::comchgbline
comchgblinew20,Individual level database FINAL,discard,,QTc interval change from Day 0 to Day 2 (computer generated),,NA,,,,,Individual level database FINAL::comchgblinew20
comchgblinew28,Individual level database FINAL,discard,,QTc interval change from Day 0 to Day 2 (computer generated),,NA,,,,,Individual level database FINAL::comchgblinew28
comchgblinew36,Individual level database FINAL,discard,,QTc interval change from Day 0 to Day 2 (computer generated),,NA,,,,,Individual level database FINAL::comchgblinew36
comeclinic,BC-3 screening database FINAL,discard,,Agreement to come to the study clinic for any febrile episode or other illness,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::comeclinic
comgrade,BC-3 mothers all visits database FINAL,keep,,QTc AE grading (computer generated),"0: QTc <0.45 sec.
1: Asymptomatic, QTc 0.45 Ð 0.47 sec
2: Asymptomatic, QTc >0.47 Ð 0.50 sec
3: Asymptomatic, QTc >0.50 sec OR Increase in interval ³ 0.06 sec above baseline
4: Life threatening consequences e.g.Torsade de pointes or other associated serious ventricular dysrhythmia",NA,,,,,BC-3 mothers all visits database FINAL::comgrade
comgrade,BC-3 mothers expanded database FINAL,keep,,QTc AE grading (computer generated),"0: QTc <0.45 sec.
1: Asymptomatic, QTc 0.45 Ð 0.47 sec
2: Asymptomatic, QTc >0.47 Ð 0.50 sec
3: Asymptomatic, QTc >0.50 sec OR Increase in interval ³ 0.06 sec above baseline
4: Life threatening consequences e.g.Torsade de pointes or other associated serious ventricular dysrhythmia",NA,,,,,BC-3 mothers expanded database FINAL::comgrade
comgradew20,Individual level database FINAL,discard,,QTc AE grading (computer generated),"0,1,2,3",NA,,,,,Individual level database FINAL::comgradew20
comgradew28,Individual level database FINAL,discard,,QTc AE grading (computer generated),"0,1,3",NA,,,,,Individual level database FINAL::comgradew28
comgradew36,Individual level database FINAL,discard,,QTc AE grading (computer generated),"0,1,3",NA,,,,,Individual level database FINAL::comgradew36
comments,BC3_Household_Survey_Data,discard,,interviewer's comments,,NA,,,,,BC3_Household_Survey_Data::comments
comp11,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp11
comp12,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp12
comp13,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp13
comp14,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp14
comp21,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp21
comp22,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp22
comp23,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp23
comp24,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp24
comp31,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp31
comp32,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp32
comp33,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp33
comp34,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp34
comp41,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp41
comp42,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp42
comp43,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp43
comp44,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp44
comp51,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp51
comp52,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp52
comp53,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp53
comp54,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp54
comp61,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,,BC-3 enrollment database FINAL::comp61
comp62,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp62
comp63,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp63
comp64,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp64
comp71,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp71
comp72,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp72
comp73,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp73
comp74,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",NA,,,,All NA's,BC-3 enrollment database FINAL::comp74
complicatedab,Individual level database FINAL,discard,,(sum) complicatedAb,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::complicatedab
compmal,BC-3 children individual level database FINAL,discard,,(sum) compmal,,NA,,,,,BC-3 children individual level database FINAL::compmal
compositebo,BC-3 mothers delivery database FINAL,keep,,Whether LBW/preterm/SGA has occurred,"0=No,
1=Yes",NA,,,,,BC-3 mothers delivery database FINAL::compositebo
compositebo,Individual level database FINAL,discard,,Whether LBW/preterm/SGA has occurred,"0=No,
1=Yes",NA,,,,DROP - Use delivery,Individual level database FINAL::compositebo
compositebob,Individual level database FINAL,keep,,LBW/preterm/SGA for supplemental table,"0=No,
1=Yes",NA,,,,Define,Individual level database FINAL::compositebob
compositefnd,BC-3 mothers delivery database FINAL,keep,,Whether SA/stillbirth/neonatal death occurred,"0,1",NA,,,,,BC-3 mothers delivery database FINAL::compositefnd
compositefnd,Individual level database FINAL,discard,,Whether SA/stillbirth/neonatal death occurred,"0,1",NA,,,,DROP - Use delivery,Individual level database FINAL::compositefnd
congenitalanomaly,Individual level database FINAL,discard,,(sum) congenitalanomaly,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::congenitalanomaly
congenitalmaldich,BC-3 mothers delivery database FINAL,keep,,Whether stillbirth occurred dichotomized if not spontaneous abortion,"0=No,
1=Yes",NA,,,,,BC-3 mothers delivery database FINAL::congenitalmaldich
contexpln,BC-3 childs deaths FINAL,keep,,Contact report explanation,,NA,,,,,BC-3 childs deaths FINAL::contexpln
contractn,BC-3 enrollment database FINAL,keep,,Abdominal pain/contractions,"0=Not present, 1=Present",NA,,,,,BC-3 enrollment database FINAL::contractn
contractn,BC-3 mothers all visits database FINAL,keep,,Regular abdominal contractions,"0=Absent,
1=Present",NA,,,,,BC-3 mothers all visits database FINAL::contractn
contreport,BC-3 childs deaths FINAL,keep,,information obtained as Contact report,1=checked,NA,,,,"map contreport, autopsy, other and hospre to same term",BC-3 childs deaths FINAL::contreport
convul,BC-3 childs all visit database FINAL,keep,,1-2 convulsions over 24 hour period,1=checked,NA,,,,,BC-3 childs all visit database FINAL::convul
cordbsdich,BC-3 mothers delivery database FINAL,keep,,,,NA,,,,Define,BC-3 mothers delivery database FINAL::cordbsdich
cordcollect,BC-3 mothers delivery database FINAL,keep,,Were any cord blood specimens collected,"0=No, 
1=Yes",NA,,,,,BC-3 mothers delivery database FINAL::cordcollect
cordreas,BC-3 mothers delivery database FINAL,keep,,"If no cord blood collected, Reason",,NA,,,,,BC-3 mothers delivery database FINAL::cordreas
cother1,BC-3 mothers delivery database FINAL,keep,,Other complications1,,NA,,,,,BC-3 mothers delivery database FINAL::cother1
cother2,BC-3 mothers delivery database FINAL,discard,,Other complications2,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::cother2
coughae,Individual level database FINAL,discard,,(sum) coughAE,,NA,,,,aggregate observation data,Individual level database FINAL::coughae
coughdur,BC-3 enrollment database FINAL,discard,,Cough Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::coughdur
coughdur,BC-3 mothers all visits database FINAL,keep,,Cough Duration,,NA,,,,,BC-3 mothers all visits database FINAL::coughdur
coughdur,BC-3 childs all visit database FINAL,keep,,Cough Duration,,NA,,,,,BC-3 childs all visit database FINAL::coughdur
coughgrade,BC-3 enrollment database FINAL,discard,,Cough Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::coughgrade
coughgrade,BC-3 mothers all visits database FINAL,keep,,Cough Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::coughgrade
coughgrade,BC-3 childs all visit database FINAL,keep,,Cough Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::coughgrade
cparity,BC-3 enrollment database FINAL,keep,,Parity,,NA,,,,,BC-3 enrollment database FINAL::cparity
cpeclam,BC-3 mothers delivery database FINAL,keep,,Pre-eclampsia,1=ticked,NA,,,,,BC-3 mothers delivery database FINAL::cpeclam
cpphsvd,BC-3 mothers delivery database FINAL,keep,,postpartum hemmorhage after spontaneous vaginal delivery,1=ticked,NA,,,,,BC-3 mothers delivery database FINAL::cpphsvd
cpreterm,BC-3 enrollment database FINAL,keep,,Preterm,,NA,,,,Total number of pregnancies resulting in preterm birth,BC-3 enrollment database FINAL::cpreterm
crfdate,BC-3 mothers delivery database FINAL,discard,,CRF started Date,date,NA,,,,,BC-3 mothers delivery database FINAL::crfdate
crfhrs,BC-3 mothers delivery database FINAL,discard,,CRF started Time: Hours,Hours,NA,,,,,BC-3 mothers delivery database FINAL::crfhrs
crfmin,BC-3 mothers delivery database FINAL,discard,,Presentation to hospital Time: Minutes,Minutes,NA,,,,,BC-3 mothers delivery database FINAL::crfmin
crplanc,BC-3 mothers delivery database FINAL,discard,,Retained placenta,1=ticked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::crplanc
csdysto,BC-3 mothers delivery database FINAL,discard,,Shoulder dystocia,1=ticked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::csdysto
cspontan,BC-3 enrollment database FINAL,keep,,Spontaneous,,NA,,,,,BC-3 enrollment database FINAL::cspontan
cterm,BC-3 enrollment database FINAL,keep,,Term,,NA,,,,Total number of pregnancies resulting in birth at full term,BC-3 enrollment database FINAL::cterm
cupboard,BC3_Household_Survey_Data,keep,,cupboard?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::cupboard
cupboarddich,BC3_Household_Survey_Data,discard,,cupboard?,"0=No, 1=Yes      ",NA,,,,,BC3_Household_Survey_Data::cupboarddich
currmed1,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,Drop since data is also included in another way ,BC-3 enrollment database FINAL::currmed1
currmed2,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,All NA's,BC-3 enrollment database FINAL::currmed2
currmed3,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,All NA's,BC-3 enrollment database FINAL::currmed3
currmed4,BC-3 enrollment database FINAL,discard,,Medication Code,,NA,,,,All NA's,BC-3 enrollment database FINAL::currmed4
