colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesforOnt
159,,5,F4A_FETCH_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010234,Fetch drinking water everyday,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,Do you or other members from your household go and fetch drinking water fro the household every day?,0,GEMS1
160,,6,F4A_TRIP_DAY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010135,Water trips daily,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,"On average, how many trips do you and members of your household make to fetch water each day?",Num,GEMS1
161,,7,F4A_TRIP_WEEK,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010137,Water trips weekly,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,"On average, how many trips do you and members from your household make to fetch water each week?",Num,GEMS1
162,,3,F4A_WATER_AVAIL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000730,Water availability,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,"In the last two weeks, how often has water been available from this main source?",1,GEMS1
163,,2,F4A_STORE_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010141,Child given stored water for drinking,,Participant,Feeding,http://purl.obolibrary.org/obo/EUPATH_0000678,"In the last two weeks, did you give Child stored water for drinking?",0,GEMS1
164,,11,F4A_TRT_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010108,Drinking water treatment,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,Do you usually treat drinking water at home?,0,GEMS1
165,,1,F4A_TRT_METHOD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000700,Drinking water treatment method,,Observation,Drinking water treatment,http://purl.obolibrary.org/obo/EUPATH_0010108,Which method do you use the most to treat drinking water at home?,0,GEMS1
167,,4,F4A_CHLORINE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010147,Chlorine treatment brand,,Observation,Drinking water treatment,http://purl.obolibrary.org/obo/EUPATH_0010108,"If you use chlorine liquid, powder or tablets, which type do you most commonly use?",0,GEMS1
169,,3,F4A_NOTRT_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010151,Child given untreated water,,Participant,Feeding,http://purl.obolibrary.org/obo/EUPATH_0000678,In the last two weeks did you give Child water which was not treated?,0,GEMS1
170,,2,F4A_DISP_FECES,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,,Observation,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,How do you usually dispose of Childs feces?,1,GEMS1
172,,1,F4A_FAC_WASTE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,Observation,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,What kind of facility does your household most commonly use to dispose of human fecal waste?,1,GEMS1
174,,7,F4A_SHARE_FAC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010236,Households sharing human waste disposal facility,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many households (other than your own) share this facility?,Num,GEMS1
175,,1,F4A_WASH_EAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015051,Washes hands before eating,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,When do you usually wash your hands? Before eating?,0,GEMS1
176,,2,F4A_WASH_COOK,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015052,Washes hands before cooking,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,When do you usually wash your hands? Before cooking?,0,GEMS1
177,,3,F4A_WASH_NURSE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015053,Washes hands before nursing or preparing baby's food,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,When do you usually wash your hands? Before you nurse or prepare baby's food?,0,GEMS1
178,,4,F4A_WASH_DEF,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015054,Washes hands after defecatation,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,When do you usually wash your hands? After you defecate?,0,GEMS1
179,,5,F4A_WASH_ANIMAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015055,Washes hands after handling domestic animals,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,When do you usually wash your hands? After handling domestic animals?,0,GEMS1
180,,6,F4A_WASH_CHILD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015056,Washes hands after cleaning child who defecated,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,When do you usually wash your hands? After cleaning child who defecated?,0,GEMS1
181,,8,F4A_WASH_NEVER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015057,Never washes hands,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,When do you usually wash your hands? Never?,0,GEMS1
182,,7,F4A_WASH_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015058,Washes hands other times,,Observation,When wash hand,http://purl.obolibrary.org/obo/EUPATH_0010381,"When do you usually wash your hands? Other, specify?",0,GEMS1
184,,1,F4A_WASH_USE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000681,Usual hand washing,,Observation,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,"When you wash your hands, what do you usually use?",1,GEMS1
185,,,F4A_BREASTFED_SINCE_ILL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015411,Child breastfed since ill,,Observation,,,Has child been breast feeding since becoming ill with diarrhea?,0,
186,,,F4A_BREASTFED_BEFORE_ILL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015410,Child breastfed before ill,,Observation,,,Was child breastfeeding during the week before becoming ill with diarrhea?,0,
187,,1,F4A_DRH_DAYS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010238,Diarrheal episode duration (days),,Observation,Diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010016,How many days including today has this episode of diarrhea lasted?,Num,GEMS1
189,,2,F4A_DRH_STOOLS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010239,Describe stool since the illness began,,Observation,Diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010016,"Since Child became ill with diarrhea, how would you describe the stool?",1,GEMS1
190,,3,F4A_MAX_STOOLS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010240,Daily maximum of loose stools,,Observation,Diarrheal episode,http://purl.obolibrary.org/obo/EUPATH_0010016,"During the illness, what was the maximum number of loose stools that Child passed in a day (24 hour period)?",1,GEMS1
191,,1,F4A_DRH_BLOOD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015059,Blood in stools,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Blood in stools?,0,GEMS1
192,,2,F4A_DRH_VOMIT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015060,Vomiting 3 or more times per day,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Vomiting 3 or more times per day?,0,GEMS1
193,,3,F4A_DRH_THIRST,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015061,Very thirsty,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Very thirsty?,0,GEMS1
194,,4,F4A_DRH_LESSDRINK,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015062,Drank much less than usual,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Drank much less than usual?,0,GEMS1
195,,5,F4A_DRH_UNDRINK,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015063,Unable to drink,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Unable to drink?,0,GEMS1
196,,6,F4A_DRH_BELLYPAIN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015064,Abdominal pain,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Belly pain?,0,GEMS1
197,,7,F4A_DRH_FEVER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015065,Fever measured at least 38C or parental perception,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Fever measured at least 38C or parental perception?,0,GEMS1
198,,8,F4A_DRH_RESTLESS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015066,Irritable or restless,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Irritable or restless?,0,GEMS1
199,,9,F4A_DRH_LETHRGY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015067,Decreased activity or lethargy,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Decreased activity or lethargy?,0,GEMS1
200,,10,F4A_DRH_CONSC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015068,Loss of consciousness,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Loss of consciousness?,0,GEMS1
201,,11,F4A_DRH_STRAIN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015069,Rectal straining,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Rectal straining?,0,GEMS1
202,,12,F4A_DRH_PROLAPSE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015070,Rectal prolapse,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Rectal prolapse?,0,GEMS1
203,,13,F4A_DRH_COUGH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015071,Cough,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Cough?,0,GEMS1
204,,14,F4A_DRH_BREATH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015072,Difficulty breathing,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Difficulty breathing?,0,GEMS1
205,,15,F4A_DRH_CONV,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015073,Convulsion,,Observation,"Case, Symptoms since illness began",http://purl.obolibrary.org/obo/EUPATH_0010357,Did Child have any of the following since this illness began? Convulsion?,0,GEMS1
206,,1,F4A_CUR_THIRSTY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015074,Very thirsty,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Very thirsty?",0,GEMS1
207,,2,F4A_CUR_NODRINK,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015075,Drinks poorly,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Drinks poorly or not able to drink?",0,GEMS1
208,,3,F4A_CUR_SUNKEYES,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015076,Sunken eyes,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Sunken Eyes?",0,GEMS1
209,,4,F4A_CUR_SKIN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015077,Wrinkled skin,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Wrinkled skin?",0,GEMS1
210,,5,F4A_CUR_RESTLESS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015078,Irritable or restless,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Irritable or restless?",0,GEMS1
211,,6,F4A_CUR_LETHRGY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015079,Lethargy or loss of consciousness,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Lethargy or loss of consciousness?",0,GEMS1
212,,7,F4A_CUR_DRYMOUTH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015080,Dry mouth,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Dry mouth?",0,GEMS1
213,,8,F4A_CUR_FASTBREATH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015081,Fast breathing,,Observation,"Case, Symptoms at Enrollment",http://purl.obolibrary.org/obo/EUPATH_0010351,"Right now, does your child have any of the following? Fast breathing?",0,GEMS1
214,,2,F4A_HOMETRT_ORS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015082,ORALITE or ORS,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? A fluid made from a special packed called Oralite or ORS?",0,GEMS1
215,,3,F4A_HOMETRT_MAIZE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015083,Homemade fluid,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Homemade fluid?",0,GEMS1
216,,4,F4A_HOMETRT_MILK,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015084,Special milk or infant formula,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Special milk or infant formula?",0,GEMS1
217,,5,F4A_HOMETRT_HERB,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015085,Home remedy/Herbal medication,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Home remedy/Herbal medicaion?",0,GEMS1
218,,7,F4A_HOMETRT_ZINC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015086,Zinc,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Zinc (tablet/syrup)?",0,GEMS1
219,,8,F4A_HOMETRT_NONE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015087,No special remedies given,,Observation,Diarrhea treatment before visit; Enrollment,http://purl.obolibrary.org/obo/EUPATH_0010378,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? No special remedies given?",0,GEMS1
