variable,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cdq33initialvisitservice3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063171,"Initial visit,  3rd service",3,"Which PrEP services did you receive during each of the visits? Initial visit, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063172,"Initial visit, 4th service",4,"Which PrEP services did you receive during each of the visits? Initial visit, service 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063173,"Initial visit, 5th service",5,"Which PrEP services did you receive during each of the visits? Initial visit, service 5",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 5","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063174,"Review visit 1, 1st service",6,"Which PrEP services did you receive during each of the visits? Review visit 1, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063175,"Review visit 1, 2nd service",7,"Which PrEP services did you receive during each of the visits? Review visit 1, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063176,"Review visit 1, 3rd service",8,"Which PrEP services did you receive during each of the visits? Review visit 1, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063177,"Review visit 1, 4th service",9,"Which PrEP services did you receive during each of the visits? Review visit 1, service 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063178,"Review visit 1, 5th service",10,"Which PrEP services did you receive during each of the visits? Review visit 1, service 5",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 5","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063179,"Review visit 2, 1st service",11,"Which PrEP services did you receive during each of the visits? Review visit 2, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063180,"Review visit 2, 2nd service",12,"Which PrEP services did you receive during each of the visits? Review visit 2, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063181,"Review visit 2, 3rd service",13,"Which PrEP services did you receive during each of the visits? Review visit 2, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063182,"Review visit 2, 4th service",14,"Which PrEP services did you receive during each of the visits? Review visit 2, service 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063183,"Review visit 3, 1st service",15,"Which PrEP services did you receive during each of the visits? Review visit 3, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063184,"Review visit 3, 2nd service",16,"Which PrEP services did you receive during each of the visits? Review visit 3, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063185,"Review visit 3, 3rd service",17,"Which PrEP services did you receive during each of the visits? Review visit 3, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063186,"Review visit 3, 4th service",18,"Which PrEP services did you receive during each of the visits? Review visit 3, service 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063187,"Review visit 4, 1st service",19,"Which PrEP services did you receive during each of the visits? Review visit 4, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063188,"Review visit 4, 2nd service",20,"Which PrEP services did you receive during each of the visits? Review visit 4, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063189,"Review visit 4, 3rd service",21,"Which PrEP services did you receive during each of the visits? Review visit 4, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063190,"Review visit 4, 4th service",22,"Which PrEP services did you receive during each of the visits? Review visit 4, service 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063191,"Review visit 5, 1st service",23,"Which PrEP services did you receive during each of the visits? Review visit 5, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063192,"Review visit 5, 2nd service",24,"Which PrEP services did you receive during each of the visits? Review visit 5, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063193,"Review visit 5, 3rd service",25,"Which PrEP services did you receive during each of the visits? Review visit 5, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063194,"Review visit 5, 4th service",26,"Which PrEP services did you receive during each of the visits? Review visit 5, service 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit6service1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063195,"Review visit 6, 1st service",27,"Which PrEP services did you receive during each of the visits? Review visit 6, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 6, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit6service2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063196,"Review visit 6, 2nd service",28,"Which PrEP services did you receive during each of the visits? Review visit 6, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 6, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit6service3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063197,"Review visit 6, 3rd service",29,"Which PrEP services did you receive during each of the visits? Review visit 6, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 6, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit7service1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063198,"Review visit 7, 1st service",30,"Which PrEP services did you receive during each of the visits? Review visit 7, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 7, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit7service2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063199,"Review visit 7, 2nd service",31,"Which PrEP services did you receive during each of the visits? Review visit 7, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 7, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit7service3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063200,"Review visit 7, 3rd service",32,"Which PrEP services did you receive during each of the visits? Review visit 7, service 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 7, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35initialvisitreason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063211,Initial visit reason 1,1,"If only some of the PrEP services were obtained, what were the main reasons? Initial visit, reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Initial visit, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35initialvisitreason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063212,Initial visit reason 2,2,"If only some of the PrEP services were obtained, what were the main reasons? Initial visit, reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Initial visit, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35initialvisitreason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063213,Initial visit reason 3,3,"If only some of the PrEP services were obtained, what were the main reasons? Initial visit, reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Initial visit, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit1reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063214,Review visit 1 reason 1,4,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 1, reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 1, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit1reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063215,Review visit 1 reason 2,5,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 1, reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 1, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit1reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063216,Review visit 1 reason 3,6,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 1, reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 1, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit2reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063217,Review visit 2 reason 1,7,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 2, reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 2, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit2reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063218,Review visit 2 reason 2,8,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 2, reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 2, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit2reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063219,Review visit 2 reason 3,9,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 2, reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 2, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit3reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063220,Review visit 3 reason 1,10,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 3, reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 3, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit3reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063221,Review visit 3 reason 2,11,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 3, reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 3, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit3reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063222,Review visit 3 reason 3,12,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 3, reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 3, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit4reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063223,Review visit 4 reason 1,13,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 4, reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 4, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit4reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063224,Review visit 4 reason 2,14,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 4, reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 4, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit4reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063225,Review visit 4 reason 3,15,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 4, reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,"If only some of the PrEP services were obtained, what were the main reasons? Review visit 4, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
