variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
cbtrans,BC-3 mothers delivery database FINAL,keep,,Blood transfusion,1=ticked,,,,,,cbtrans|BC-3 mothers delivery database FINAL,,,,,,,
ccpdispo,BC-3 mothers delivery database FINAL,keep,,Cephalopelvicdispoportion,1=ticked,,,,,,ccpdispo|BC-3 mothers delivery database FINAL,,,,,,,
ceclam,BC-3 mothers delivery database FINAL,keep,,Eclampsia,1=ticked,,,,,,ceclam|BC-3 mothers delivery database FINAL,,,,,,,
celective,BC-3 enrollment database FINAL,keep,,Elective,,,,,,,celective|BC-3 enrollment database FINAL,,,,,,,
chair,BC3_Household_Survey_Data,SKIP,,chairs?,"1=Yes, 2=No, -9=Skipped",,,,,,chair|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000586,Chair,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,multifilter value
checked,BC-3 mothers expanded database FINAL,discard,,checked,1=Checked,,,,,??? Define?,checked|BC-3 mothers expanded database FINAL,DROP,,,,,,multifilter value
chemorr,BC-3 mothers delivery database FINAL,keep,,Hemorrhage,1=ticked,,,,,,chemorr|BC-3 mothers delivery database FINAL,,,,,,,
chgbline,BC-3 mothers all visits database FINAL,SKIP,,QTc interval change from Day 0 to Day 2,,,,,,Definition?,chgbline|BC-3 mothers all visits database FINAL,,,QTc interval,,,,variable
chgbline,BC-3 mothers expanded database FINAL,SKIP,,QTc interval change from Day 0 to Day 2,,,,,,Definition?,chgbline|BC-3 mothers expanded database FINAL,,,,,,,variable
chgblinew20,Individual level database FINAL,SKIP,,QTc interval change from Day 0 to Day 2,,,,,,Definition?,chgblinew20|Individual level database FINAL,,,,,,,variable
chgblinew28,Individual level database FINAL,SKIP,,QTc interval change from Day 0 to Day 2,,,,,,Definition?,chgblinew28|Individual level database FINAL,,,,,,,variable
chgblinew36,Individual level database FINAL,SKIP,,QTc interval change from Day 0 to Day 2,,,,,,Definition?,chgblinew36|Individual level database FINAL,,,,,,,variable
chilldur,BC-3 enrollment database FINAL,keep,,Chill Duration,,,,,,,chilldur|BC-3 enrollment database FINAL,,,,,,,
chilldur,BC-3 mothers all visits database FINAL,keep,,Chill Duration,,,,,,,chilldur|BC-3 mothers all visits database FINAL,,,,,,,
chillgrade,BC-3 enrollment database FINAL,keep,,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,chillgrade|BC-3 enrollment database FINAL,,,,,,,
chillgrade,BC-3 mothers all visits database FINAL,keep,,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,chillgrade|BC-3 mothers all visits database FINAL,,,,,,,
chillsAE,Individual level database FINAL,SKIP,,(sum) chillsAE,"0,1,2",,,,,What does sum mean? Please define.,chillsAE|Individual level database FINAL,http://purl.obolibrary.org/obo/SYMP_0019174,Chills adverse event,,,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
chronicmed,BC-3 screening database FINAL,SKIP,,Chronic medical condition requiring frequent medical attention,"0 = No,
1=Yes",,,,,,chronicmed|BC-3 screening database FINAL,,Chronic condition,Specified if participant has any Chronic medical condition requiring frequent medical attention,Participant,,,variable
cifetus,BC-3 mothers delivery database FINAL,keep,,"Injury to fetus",1=ticked,,,,,Multifilter,cifetus|BC-3 mothers delivery database FINAL,,,,,,,
clacera,BC-3 mothers delivery database FINAL,keep,,Laceration/episiotomy,1=ticked,,,,,Multifilter,clacera|BC-3 mothers delivery database FINAL,,,,,,,
clock,BC3_Household_Survey_Data,SKIP,,clock?,"1=Yes, 2=No, -9=Skipped",,,,,,clock|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
cmal,BC-3 mothers all visits database FINAL,keep,,IF complicated malaria what criteria: Cerebral malaria,1=checked,,,,,,cmal|BC-3 mothers all visits database FINAL,,,,,,,
cmal,BC-3 mothers delivery database FINAL,keep,,IF complicated malaria what criteria: Cerebral malaria,1=checked,,,,,,cmal|BC-3 mothers delivery database FINAL,,,,,,,
cmrplac,BC-3 mothers delivery database FINAL,keep,,Manual removal of placenta,1=ticked,,,,,Multifilter,cmrplac|BC-3 mothers delivery database FINAL,,,,,,,
cnone,BC-3 mothers delivery database FINAL,keep,,None,1=ticked,,,,,Multifilter,cnone|BC-3 mothers delivery database FINAL,,,,,,,
comchgbline,BC-3 mothers all visits database FINAL,SKIP,,QTc interval change from Day 0 to Day 2 (computer generated),,,,,,Double-check definition?,comchgbline|BC-3 mothers all visits database FINAL,,QTc interval,QTc interval,,,,variable
comchgbline,BC-3 mothers expanded database FINAL,SKIP,,QTc interval change from Day 0 to Day 2 (computer generated),,,,,,Double-check definition?,comchgbline|BC-3 mothers expanded database FINAL,,QTc interval change from Day 0 to Day 2 (computer generated),,,,,variable
comchgblinew20,Individual level database FINAL,SKIP,,QTc interval change from Day 0 to Day 2 (computer generated),,,,,,Double-check definition?,comchgblinew20|Individual level database FINAL,,QTc interval,,,,,variable
comchgblinew28,Individual level database FINAL,SKIP,,QTc interval change from Day 0 to Day 2 (computer generated),,,,,,Double-check definition?,comchgblinew28|Individual level database FINAL,,QTc interval,,,,,variable
comchgblinew36,Individual level database FINAL,SKIP,,QTc interval change from Day 0 to Day 2 (computer generated),,,,,,Double-check definition?,comchgblinew36|Individual level database FINAL,,QTc interval,,,,,variable
comeclinic,BC-3 screening database FINAL,SKIP,,Agreement to come to the study clinic for any febrile episode or other illness,"0 = No,
1=Yes",,,,,SKIP - Screening,comeclinic|BC-3 screening database FINAL,,Come to Clinic,specified whether participant is willing to come to the study clinic for any febrile episode or other illness,Participant,,,variable
comgrade,BC-3 mothers all visits database FINAL,SKIP,,QTc AE grading (computer generated),"0,1,2,3",,,,,Double-check definition?,comgrade|BC-3 mothers all visits database FINAL,,QTc AE grading,QTc AE grading,,,,variable
comgrade,BC-3 mothers expanded database FINAL,SKIP,,QTc AE grading (computer generated),"0,1,2,3,4",,,,,Double-check definition?,comgrade|BC-3 mothers expanded database FINAL,,QTc AE grading,,,,,variable
comgradew20,Individual level database FINAL,SKIP,,QTc AE grading (computer generated),"0,1,2,3",,,,,Double-check definition?,comgradew20|Individual level database FINAL,,QTc AE grading,,,,,variable
comgradew28,Individual level database FINAL,SKIP,,QTc AE grading (computer generated),"0,1,3",,,,,Double-check definition?,comgradew28|Individual level database FINAL,,QTc AE grading,,,,,variable
comgradew36,Individual level database FINAL,SKIP,,QTc AE grading (computer generated),"0,1,3",,,,,Double-check definition?,comgradew36|Individual level database FINAL,,QTc AE grading,,,,,variable
comments,BC3_Household_Survey_Data,SKIP,,interviewer's comments,,,,,,,comments|BC3_Household_Survey_Data,,,,,,,variable
comp11,BC-3 enrollment database FINAL,keep,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,,comp11|BC-3 enrollment database FINAL,,,,,,,
comp12,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,DROP,comp12|BC-3 enrollment database FINAL,,DROP,What 2nd complication did the participant have in her first delivery,Participant,Obstetric history,,variable
comp13,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,DROP,comp13|BC-3 enrollment database FINAL,,DROP,What 3rd complication did the participant have in her first delivery,Participant,Obstetric history,,variable
comp14,BC-3 enrollment database FINAL,discard,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,DROP,comp14|BC-3 enrollment database FINAL,,DROP,What 4th complication did the participant have in her first delivery,Participant,Obstetric history,,variable
comp21,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp21|BC-3 enrollment database FINAL,,SKIP,What 1st complication did the participant have in her 2nd delivery,,,,variable
comp22,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp22|BC-3 enrollment database FINAL,,,What 2nd complication did the participant have in her 2nd delivery,,,,variable
comp23,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp23|BC-3 enrollment database FINAL,,,What 3rd complication did the participant have in her 2nd delivery,,,,variable
comp24,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp24|BC-3 enrollment database FINAL,,,What 4th complication did the participant have in her 2nd delivery,,,,variable
comp31,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp31|BC-3 enrollment database FINAL,,,What 1st complication did the participant have in her 3rd delivery,,,,variable
comp32,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp32|BC-3 enrollment database FINAL,,,What 2nd complication did the participant have in her 3rd delivery,,,,variable
comp33,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp33|BC-3 enrollment database FINAL,,,What 3rd complication did the participant have in her 3rd delivery,,,,variable
comp34,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp34|BC-3 enrollment database FINAL,,,What 4th complication did the participant have in her 3rd delivery,,,,variable
comp41,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp41|BC-3 enrollment database FINAL,,,What 1st complication did the participant have in her 4th delivery,,,,variable
comp42,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp42|BC-3 enrollment database FINAL,,,What 2nd complication did the participant have in her 4th delivery,,,,variable
comp43,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp43|BC-3 enrollment database FINAL,,,What 3rd complication did the participant have in her 4th delivery,,,,variable
comp44,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp44|BC-3 enrollment database FINAL,,,What 4th complication did the participant have in her 4th delivery,,,,variable
comp51,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp51|BC-3 enrollment database FINAL,,,What 1st complication did the participant have in her 5th delivery,,,,variable
comp52,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp52|BC-3 enrollment database FINAL,,,What 2nd complication did the participant have in her 5th delivery,,,,variable
comp53,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp53|BC-3 enrollment database FINAL,,,What 3rd complication did the participant have in her 5th delivery,,,,variable
comp54,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp54|BC-3 enrollment database FINAL,,,What 4th complication did the participant have in her 5th delivery,,,,variable
comp61,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp61|BC-3 enrollment database FINAL,,,What 1st complication did the participant have in her 6th delivery,,,,variable
comp62,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp62|BC-3 enrollment database FINAL,,,What 2nd complication did the participant have in her 6th delivery,,,,variable
comp63,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp63|BC-3 enrollment database FINAL,,,What 3rd complication did the participant have in her 6th delivery,,,,variable
comp64,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp64|BC-3 enrollment database FINAL,,,What 4th complication did the participant have in her 6th delivery,,,,variable
comp71,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp71|BC-3 enrollment database FINAL,,,What 1st complication did the participant have in her seventh delivery,,,,variable
comp72,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp72|BC-3 enrollment database FINAL,,,What 2nd complication did the participant have in her seventh delivery,,,,variable
comp73,BC-3 enrollment database FINAL,SKIP,,Complications,"1=PPH,
2=Chorioamnionitis,
3=Chronic HTN,
4=Pre-eclapsia,
5=Placenta previa,
6=Postpartum endometritis,
7=Retained placenta,
8=Neonatal demise",,,,,Should we do these as separate variables? First delivery second delivery etc.?,comp73|BC-3 enrollment database FINAL,,,What 3rd complication did the participant have in her seventh delivery,,,,variable
