variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1_huas label
sd_dk,gems1_huas_data.sas7bdat,,,num,C19.1: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Don't know. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,75,NA,NA,,,19. Diarrhea result harm/Don't know
sd_fever,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Fever associated with diarrhea. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,72,NA,NA,,,19. Diarrhea result harm/Fever
sd_lrgperday,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  A large number or amount of stools per day. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,71,NA,NA,,,19. Diarrhea result harm/Large amount
sd_mucus,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Mucus/pus in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,68,NA,NA,,,19. Diarrhea result in harm/Mucus or pus
sd_rice,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Rice watery stool. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,69,NA,NA,,,19. Diarrhea result in harm/Rice watery
sd_vomit,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Diarrhea and vomiting. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,73,NA,NA,,,19. Diarrhea result harm/Vomit
seek_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,51,50,,,
seek_ctr1_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"402, 404, 405, 407, 408, 409, 410, 411, 438, 439, 446, ",,,,,NA,52,51,,,
seek_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,76,NA,,,
seek_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,54,53,,,
seek_ctr2_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"101, 102, 202, 301, 303, 402, 405, 407, 408, 411, 501",,,,,NA,55,54,,,
seek_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,1,,,,,NA,77,NA,,,
seek_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,58,55,,,
seek_ctr3_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"303, 402",,,,,NA,59,56,,,
seek_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,1,,,,,NA,78,NA,,,
seek_friend,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,47,46,,,
seek_healer,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,49,48,,,
seek_licdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,53,52,,,
seek_other,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,56,57,,,
seek_other_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,E31.12: Health care utilization.,,,,,,NA,57,58,,,
seek_pharmacy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,50,49,,,
seek_remedy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,48,47,,,
seek_unlicdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,60,59,,,
seekcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E29: Health care utilization. Did you seek care for the child's diarrhea outside of your home. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,119,34,33,,response value 0 not in codebook,29. Did you seek care outside of home
seekcarehcf,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,"1, 2",,,,,NA,NA,78,,variable not in HUAS codebook (CRF01 HUAS),
sex,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,416,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
sexwt,gems1_huas_data.sas7bdat,Discard,,num,,,,,,,400,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,3. Site.,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan",,,,,1,1,7,,,Site number extracted from Child ID
slp_rooms,gems1_huas_data.sas7bdat,,,num,B13: Household information. How many rooms in your household are used for sleeping.,,,,,,39,NA,NA,,,13. Total sleeping rooms
status,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A07: Eligibility information. Status of interview.,"1=Conducted, 2=Not conducted",,,,,21,11,12,,,7. Status of interview
status2,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,1,,,,,NA,NA,82,,variable not in HUAS codebook (CRF01 HUAS),
stcare,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,430,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
trnsport,gems1_huas_data.sas7bdat,,,num,C21: Parents perception of illness and use of health care facility. How do you/would you usually get to the health center of first choice.,"0=NOT IN CODEBOOK, 1=Walk, 2=Commercial transport, 3=Personal transport, 4=Combination of the above, NA=NA",,,,,79,NA,NA,,response value 0 not in codebook,21. How do you travel to 1st center
trnsport_time,gems1_huas_data.sas7bdat,,,num,C22: Parents perception of illness and use of health care facility. How long does/would it take to get to your center of first choice (using the transport method indicated in trnsport).,"0=NOT IN CODEBOOK, 1=Less than 15 minutes, 2=15 minutes to 30 minutes, 3=30 minutes to 1 hour, 4=1 hour to 4 hours, 5=More than 4 hours, 6=Don't know, NA=NA",,,,,80,NA,NA,,response value 0 not in codebook,22. Travel time to get to first center
trt_blood,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Blood in stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,286,NA,NA,,response value 0 not in codebook,48. Treatment-Blood in stool
trt_coma,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Coma/loss of consciousness. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,289,NA,NA,,response value 0 not in codebook,48. Treatment-Coma
trt_decurin,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Decreased urination. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,287,NA,NA,,response value 0 not in codebook,48. Treatment-Decreased urination
trt_dehydr,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with dehydration. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,291,NA,NA,,response value 0 not in codebook,48. Treatment-Diarrhea/Dehydration
trt_dry,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Dry mouth. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,290,NA,NA,,response value 0 not in codebook,48. Treatment-Dry mouth
trt_fever,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with fever. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,285,NA,NA,,response value 0 not in codebook,48. Treatment-Diarrhea/Fever
trt_homefluid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,69,68,,variable not in HUAS codebook (CRF01 HUAS),
trt_iv,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,67,66,,variable not in HUAS codebook (CRF01 HUAS),
trt_lethrgy,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Lethargy. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,288,NA,NA,,response value 0 not in codebook,48. Treatment-Lethargy
trt_loose710,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (7-10 per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,277,NA,NA,,response value 0 not in codebook,48. Treatment-Loose stools 7-10/day
trt_looseg10,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (more than 10 per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,278,NA,NA,,response value 0 not in codebook,48. Treatment-Loose stools > 10/day
trt_loosel6,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (6+ per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,276,NA,NA,,response value 0 not in codebook,48. Treatment-Loose stools 
trt_mucus,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Mucus/pus in stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,279,NA,NA,,response value 0 not in codebook,48. Treatment-Mucus/pus in stool
trt_none,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,68,67,,variable not in HUAS codebook (CRF01 HUAS),
trt_ors,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,NA,70,69,,variable not in HUAS codebook (CRF01 HUAS),
trt_othr,gems1_huas_data.sas7bdat,Discard,,num,"G48.1: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Other, specify. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,283,NA,NA,,response value 0 not in codebook,48. Treatment-Other
trt_rice,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Rice watery stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",,,,,280,NA,NA,,response value 0 not in codebook,48. Treatment-Rice watery stool
trt_sunkeyes,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with sunken eyes. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,282,NA,NA,,response value 0 not in codebook,48. Treatment-Diarrhea/Sunken eyes
trt_vomit,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea and vomiting. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,292,NA,NA,,response value 0 not in codebook,48. Treatment-Diarrhea/Vomiting
trt_wrnkskin,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with wrinkled skin. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,281,NA,NA,,response value 0 not in codebook,48. Treatment-Diarrhea/Wrinkled skin
trtworks_blood,gems1_huas_data.sas7bdat,,,num,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Bloody diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,340,NA,NA,,,58. Bloody diarrhea
trtworks_loose,gems1_huas_data.sas7bdat,,,num,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Simple loose/watery diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,339,NA,NA,,,58. Simple loose/watery diarrhea
trtworks_rice,gems1_huas_data.sas7bdat,,,num,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Rice watery/cholera-like illness.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,341,NA,NA,,,58. Rice watery/cholera-like illness
unlicprov,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,412,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
unprac,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,406,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
usevac_blood,gems1_huas_data.sas7bdat,,,num,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Bloody diarrhea.","1=No, 2=Yes, NA=NA",,,,,352,NA,NA,,,65. Bloody diarrhea
usevac_loose,gems1_huas_data.sas7bdat,,,num,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Simple loose/watery diarrhea.","1=No, 2=Yes, NA=NA",,,,,351,NA,NA,,,65. Simple loose/watery diarrhea
usevac_rice,gems1_huas_data.sas7bdat,,,num,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Rice watery/cholera-like illness.","1=No, 2=Yes, NA=NA",,,,,353,NA,NA,,,65. Rice watery/cholera-like illness
vac_imp,gems1_huas_data.sas7bdat,,,num,"H64: Attitudes about diarrheal illness. In your opinion, are vaccines important for your child's health.","1=No, 2=Yes, NA=NA",,,,,350,NA,NA,,,64. Vaccine important for child's health
visit_da,gems1_huas_data.sas7bdat,Discard,,num,2.1. Visit date (day).,,,,,,6,NA,NA,,,Calculated Visit Day
visit_mo,gems1_huas_data.sas7bdat,Discard,,num,2.2. Visit date (month).,,,,,,5,NA,NA,,,Calculated Visit Month
visit_yr,gems1_huas_data.sas7bdat,Discard,,num,2.3. Visit date (year).,,,,,,7,NA,NA,,,Calculated Visit Year
visitdate,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,date,2. Date of intervew.,,,,,,4,3,8,variables 'visitdate' & 'visit_date' should map to the same display label & IRI,,Calculated Visit Date
visitdate_str,gems1_huas_data.sas7bdat,Discard,,chr,,,,,,,3,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),Date of interview
vomit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,NA,30,29,,variable not in HUAS codebook (CRF01 HUAS),
vomit_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,NA,32,31,,variable not in HUAS codebook (CRF01 HUAS),
vomit_times,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,NA,31,30,,variable not in HUAS codebook (CRF01 HUAS),
wealth_index,gems1_huas_data.sas7bdat,,,num,,,,,,,401,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
who_decid,gems1_huas_data.sas7bdat,,,num,"C24: Parents perception of illness and use of health care facility. If the child is sick, who decides whether the child should go to a health center. Choose only one response.","1=Mother, 10=Other relation by blood or marriage, specify, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation, NA=NA",,,,,97,NA,NA,,,24. Who decides to go to health center
wiq,gems1_huas_data.sas7bdat,,,num,,"0, 1, 2, 3, 4",,,,,402,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),Rank for Variable Wealth_Index
yng_chldrn,gems1_huas_data.sas7bdat,,,num,B14: Household information. How many children younger than 60 months live in this household.,,,,,,40,NA,NA,,,14. Total children 
